scenario,run,PEHE_S-Learner,MAE_S-Learner,ATEerr_S-Learner,PEHE_T-Learner,MAE_T-Learner,ATEerr_T-Learner,PEHE_X-Learner,MAE_X-Learner,ATEerr_X-Learner,PEHE_Causal Forest,MAE_Causal Forest,ATEerr_Causal Forest,PEHE_R-Learner,MAE_R-Learner,ATEerr_R-Learner,PEHE_DR-Learner,MAE_DR-Learner,ATEerr_DR-Learner,PEHE_CaML-OP,MAE_CaML-OP,ATEerr_CaML-OP
2,7,0.18556869328118322,0.136993566037698,0.09267624979830817,0.2898632884402824,0.23771169066784442,0.07767778345942891,0.2303039743564559,0.18292283728070638,0.08170610363673493,0.15519078968917363,0.1253563922908609,0.09071555175497541,0.2545348384152735,0.21314282829661824,0.06461365068725951,0.2692916589435895,0.22269549975519543,0.07988507915998203,0.1975703299849323,0.1508904719436202,0.08707554023416891
2,8,0.1405699428258308,0.1047518232828761,0.07069721268856921,0.24493799019367968,0.19713325524796144,0.06309199854152411,0.1914961106833107,0.15320259787190918,0.06292522895313388,0.12374298511457908,0.08892960735049472,0.07505240767621423,0.24030419549180398,0.1947366012260806,0.0808852212707931,0.26687773802732667,0.2102231590574903,0.07635200932041755,0.17482741840764823,0.13208943936016837,0.07808275954912328
2,9,0.08760488707769151,0.0710410190305732,0.016370703451977775,0.18683040666925263,0.15013902500240522,0.022833730092055284,0.13815513732538873,0.11200360997708508,0.007692955498126819,0.1129439601066853,0.09544743379291966,0.0205141755038252,0.270916812929855,0.21723447607098828,0.002137141323593739,0.31574189721319057,0.24120914927152334,0.05021160920557354,0.1640936597219451,0.13175213638472585,0.02813352182121881
3,0,0.09304793816749292,0.07412995830152726,0.04322307130560954,0.28054052402034485,0.22847096220347685,0.09029764728092073,0.2205626065726722,0.17962452971662315,0.06358717291238138,0.13994440905373262,0.11454335697755004,0.07242428196631873,0.2660904288160728,0.21061083638892814,0.08308304469594924,0.30163839804310366,0.2323662784393193,0.09172190609621454,0.2139743757512524,0.16966991328160572,0.06253461555689
3,1,0.07478580854922261,0.05693663928449558,0.05323881777707142,0.23073560178393787,0.19682392462748075,0.10262602147096803,0.20029806105572245,0.157681944894146,0.09946028641215682,0.15639447562777203,0.12596432618009099,0.10478680733667799,0.2720192556909471,0.21224246478501535,0.10527970378984489,0.30390855718829296,0.2252957638640162,0.11158951865613319,0.20389470230854276,0.16421945145575648,0.12433926578423106
3,2,0.08015136976591915,0.06564799358326699,0.00028420181351540737,0.2196127249718969,0.18312760008336318,0.017295578789701373,0.1672447970285367,0.14235461329632992,0.009234667646046137,0.11026242469171588,0.08609349552892719,0.0005288583184420593,0.23211510864892843,0.18531307155126306,0.009980752949413104,0.24310265549795412,0.1994293782164928,0.0071390927997065905,0.1842187308454655,0.14179373316701394,0.02597961367872797
3,3,0.09290095070710616,0.08194577499107188,0.04695210018948661,0.2221963287050149,0.18474210570523317,0.07071670811884935,0.1618955119628554,0.13752445059870327,0.06216031651322349,0.10746641611708549,0.09337977451400488,0.04733763244491141,0.19795453676954144,0.16779178499916206,0.05378084490245184,0.21225269425643684,0.17536568385305093,0.04882750180734047,0.15020104235186962,0.13100165167736869,0.05009836244391617
3,4,0.04995421769397553,0.04396903691925884,0.02558364349614459,0.18240546692193021,0.14638832399724475,0.03374037532799366,0.11710570917564406,0.0938332649078862,0.037333683790847755,0.06391199622310377,0.05239379213862496,0.0016416973969253183,0.22097904810855643,0.17914578887618893,0.0019732729824820123,0.21210584135874586,0.16811256670085173,0.0015653032796039013,0.09831137969075308,0.07551828505375759,0.004407375288470716
3,5,0.08050837017617561,0.06372129466995362,0.019412819871112583,0.21682433327737982,0.1668822535725794,0.055656014988545506,0.15365029383778778,0.11058737726729653,0.05622546413274,0.12195611991909996,0.09615360673157272,0.05304017667649605,0.2293102344212741,0.1665666010214993,0.04988724138087991,0.254590303496086,0.183057985789798,0.05921522049798515,0.1454816167487385,0.10818754964136998,0.04823255391281291
3,6,0.06296079019697187,0.04934425013411112,0.0019821771405057224,0.18801978348404766,0.14937083358434505,0.012670226449792054,0.16269421762149713,0.1298696916323473,0.001016121030704466,0.12443132475695769,0.0898511155703522,0.01712450229611161,0.2529005510206512,0.1993344695638996,0.012452594913960252,0.24513829629753767,0.19216104805410847,0.0038449191570721192,0.1239440053901205,0.09471742460388773,0.00020256700418871867
