scenario,run,TreatAll,TreatNone,Oracle,S-Learner,T-Learner,X-Learner,Causal Forest,R-Learner,DR-Learner,CaML-OP
2,1,0.4794931355426613,0.5153332424932918,0.5354001834667116,0.5372463700000384,0.5459893594994986,0.5369055335591237,0.5216461985650698,0.5252273753389485,0.5406512132178105,0.5119580434006914
2,2,0.5453774997869567,0.4919118695600902,0.5187646665635526,0.4974184663066687,0.5413749627007428,0.521464915503808,0.5235751638546627,0.6118358426090575,0.5845330812904774,0.5893887004289423
2,3,0.661791459461587,0.40893957226083155,0.5731134817978846,0.6249485599281597,0.6334620942241627,0.6298122434985727,0.5624201978911739,0.567925688623459,0.5866793005219026,0.6023435572163791
2,4,0.5229819092433828,0.5266942222643844,0.5457633975991254,0.5282137858409726,0.46735746732822403,0.4887065191858996,0.4971515119384442,0.5221233855012102,0.5232113124298192,0.5301792443481896
2,5,0.5087641336380784,0.500465859270823,0.5323436261362413,0.5009836077934656,0.5749862916096175,0.5576607089177421,0.5740476863873183,0.557437985253786,0.5546043097476555,0.5514802840712636
2,6,0.5831954393834998,0.5548831121392822,0.6557034852820878,0.5944576683219691,0.549231748881511,0.5858003093543369,0.6258499415575953,0.5915232921780552,0.6504256057401958,0.6307545233883315
2,7,0.639612140543056,0.5968666702841344,0.6899694003079234,0.6437505514730252,0.6270438456055345,0.5853700303752534,0.6444197787148885,0.6498360265989572,0.6361665477379479,0.6597382154061745
2,8,0.5574125839678922,0.5493867029016476,0.5802886565624611,0.6085641324541845,0.6030155899302827,0.601994900749457,0.6200382304013503,0.5829575900279775,0.5760901771352025,0.5996151509184705
2,9,0.4663633687395927,0.41811177447705855,0.3472625417329103,0.38160400501805786,0.3857596721955956,0.4172328630217517,0.334196249094748,0.35135784691537436,0.3696521472946724,0.3518186014943774
3,0,0.4832284628314157,0.5208064651182448,0.5247049120337811,0.5468374503757367,0.508989607390297,0.5507059916687664,0.5755804458999414,0.4912989137036762,0.5194378819290318,0.5416880728958207
3,1,0.4467130679025779,0.5153332424932918,0.5373404890701026,0.5350730482164852,0.5339019386254013,0.5407932056109885,0.5327729842886685,0.5396206107932319,0.5351995381633703,0.523919998841939
3,2,0.5352999318309593,0.4919118695600902,0.5411033039963701,0.5470933150023893,0.5399879075363667,0.5487741005711462,0.5129055403751971,0.6157162465606862,0.6238142672059095,0.5756525087063528
3,3,0.6096003043809273,0.40893957226083155,0.4403057522454168,0.5767881052255948,0.550518182779856,0.5442371951094057,0.5711422763005645,0.5063115016590236,0.5149491831127411,0.5638286699453394
3,4,0.5095385491989717,0.5266942222643844,0.5387238217889212,0.5703582071183456,0.5119151087241773,0.521693866841017,0.5524365299462385,0.5432277089755455,0.5510731602695491,0.5468345475745625
3,5,0.5127881122587129,0.500465859270823,0.5627901162731491,0.5097986535724012,0.5627211316113697,0.5392958852043039,0.5114087752452068,0.5012705339702823,0.4615980920961728,0.5174658089719825
3,6,0.5576953149458473,0.5548831121392822,0.6064890219614333,0.605774127284711,0.5250604588131622,0.5369693543944528,0.5656675922378132,0.555599835603722,0.6080365540802938,0.6264188395608842
3,7,0.6572217200379143,0.5968666702841344,0.6992663986711266,0.6297614680541095,0.6591326515267324,0.6272663295599847,0.631939820489495,0.6188349248319059,0.6864370215552341,0.6865506299686284
3,8,0.539422832661125,0.5493867029016476,0.5324666301112391,0.5470733027133913,0.519656941451995,0.5644201330368223,0.5736563247642239,0.570485678927046,0.5643984634338695,0.5512381282017793
3,9,0.4965326106846012,0.41811177447705855,0.4934745351330064,0.33057920256602535,0.3927134375577267,0.40728550948893777,0.3418480959099418,0.4000591749249241,0.39843857801561383,0.3862862345213972
4,0,0.4591804729558145,0.5208064651182448,0.5287084251757052,0.49641875229383997,0.5027287148900009,0.529420027409437,0.5173905950164124,0.5242462897976454,0.4971888767850005,0.5434563182215951
4,1,0.4508544547795747,0.5153332424932918,0.561980680224739,0.5443171867469591,0.5457877076517991,0.5450751142599598,0.5309353334073065,0.4983417740506368,0.523074818980861,0.5475443993625664
4,2,0.5165558293670585,0.4919118695600902,0.5180649890799266,0.5325713077096255,0.5773349999163119,0.5567249292461858,0.525471412435041,0.6397759293710368,0.6048645535262375,0.570969431815602
4,3,0.6359861207879209,0.40893957226083155,0.5299147596632792,0.5869603140916602,0.5835435475254046,0.5680412337445367,0.5957277347397404,0.5725834077570192,0.5740068838318872,0.617569802880833
4,4,0.5019102027028058,0.5266942222643844,0.5374667843453004,0.5571210225176774,0.5372498675121264,0.5421923953467082,0.575844699873694,0.5425608748999868,0.556392398162801,0.5591448706232537
4,5,0.474088171021728,0.500465859270823,0.5490351878948734,0.5038915828347046,0.5489203987661293,0.5139305738109599,0.5003960449944118,0.4995455273579464,0.523348853204492,0.5340382972129345
4,6,0.4936168273213836,0.5548831121392822,0.5523986218565963,0.5519209017019869,0.4775314562259367,0.4931332318086726,0.4910288792746278,0.5262754151276968,0.5478709772262597,0.5393778734475672
4,7,0.6211059188402887,0.5968666702841344,0.6824663776111891,0.6255250596837598,0.666490518961383,0.5867625272480905,0.6198378678718804,0.6042052776374861,0.6439985065679188,0.6275285409566497
4,8,0.5981243825087111,0.5493867029016476,0.5911095087497357,0.560756590937595,0.5838332428043347,0.5952018973839022,0.5626296906322323,0.5534668194443091,0.5794396852375986,0.6085657623961005
4,9,0.5004087714768235,0.41811177447705855,0.48556089335082997,0.32931138573304813,0.38143533362796894,0.363547148950709,0.3196096591964308,0.40920320089703455,0.4091563251826052,0.36209462032054884
